ML Model Name,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.986013986013986,,0.9850104821802935,0.9850104821802935,0.9850104821802935,0.970020964360587
XGBoost (Ensemble),0.965034965034965,,0.968494623655914,0.9567085953878407,0.9620669531540135,0.9251281457541922
Random Forest (Ensemble),0.958041958041958,,0.9586530264279625,0.9511530398322852,0.9546703296703296,0.9097751526641134
KNN,0.958041958041958,,0.96875,0.9433962264150944,0.9538709677419355,0.9117937949604076
Naive Bayes,0.9370629370629371,,0.9423245614035087,0.9228511530398322,0.9311212202301311,0.8649565325663754
Decision Tree,0.9230769230769231,,0.9145114942528736,0.9233752620545074,0.9184678380759861,0.8378398713451533
